id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GAB005004001,Bende Passi Mogno,Bende Passi Mogno,bende-passi-mogno,GAB005004001,-3.532,10.794
GAB005004002,Bouggou,Bouggou,bouggou,GAB005004002,-3.75,11.206
GAB005004003,Boukena Boumounou,Boukena Boumounou,boukena-boumounou,GAB005004003,-3.767,11.021
GAB005004004,Dend,Dend,dend,GAB005004004,-3.772,11.149
GAB005004005,Dende,Dende,dende,GAB005004005,-3.772,11.149
GAB005004006,Dendo,Dendo,dendo,GAB005004006,-3.772,11.149
GAB005004007,Kayes Congo,Kayes Congo,kayes-congo,GAB005004007,-3.735,11.036
GAB005004008,Loungou Zambi,Loungou Zambi,loungou-zambi,GAB005004008,-3.75,11.033
GAB005004009,Makanda,Makanda,makanda,GAB005004009,-3.87,11.104
GAB005004010,Mallembe,Mallembe,mallembe,GAB005004010,-3.566,10.844
GAB005004011,Nienzi Mogne,Nienzi Mogne,nienzi-mogne,GAB005004011,-3.774,11.019
GAB005004012,Sainte-Marie,Sainte-Marie,sainte-marie,GAB005004012,-3.795,11.019
GAB005004013,Sette Banda,Sette Banda,sette-banda,GAB005004013,-3.83,11.039
GAB005004014,Tchibenda,Tchibenda,tchibenda,GAB005004014,-3.898,11.138
GAB005004015,Tchigana,Tchigana,tchigana,GAB005004015,-3.726,11.041
GAB005004016,Tchimbia,Tchimbia,tchimbia,GAB005004016,-3.811,11.019
GAB005004017,Tchingondo,Tchingondo,tchingondo,GAB005004017,-3.517,10.817
GAB005004018,Tchitende,Tchitende,tchitende,GAB005004018,-3.898,11.138
GAB005004019,Tia,Tia,tia,GAB005004019,-3.627,10.958
GAB005004020,Toco Tsiala,Toco Tsiala,toco-tsiala,GAB005004020,-3.759,11.024
GAB005004021,Village Sainte Marie,Village Sainte Marie,village-sainte-marie,GAB005004021,-3.795,11.019
GAB005004022,Zambi Zanza,Zambi Zanza,zambi-zanza,GAB005004022,-3.548,10.817
GAB005004023,Zembi-Zanza,Zembi-Zanza,zembi-zanza,GAB005004023,-3.548,10.817
